TIME,COUNTRY,AGE,VALUE
2010,Italy,Less than 16 years,13873
2010,Italy,From 16 to 24 years,14432
2010,Italy,From 16 to 64 years,16946
2010,Italy,16 years or over,16381
2010,Italy,Less than 18 years,13828
2010,Italy,From 18 to 24 years,14692
2010,Italy,From 18 to 64 years,17069
2010,Italy,18 years or over,16453
2010,Italy,From 25 to 49 years,16703
2010,Italy,From 25 to 54 years,16909
2010,Italy,From 50 to 64 years,18627
2010,Italy,From 55 to 64 years,18961
2010,Italy,Less than 60 years,16146
2010,Italy,60 years or over,15615
2010,Italy,Less than 65 years,16333
2010,Italy,From 65 to 74 years,0
2010,Italy,65 years or over,14974
2010,Italy,Less than 75 years,16272
2010,Italy,75 years or over,14251
2010,Cyprus,Total,16180
2010,Cyprus,Less than 6 years,15866
2010,Cyprus,From 6 to 11 years,15594
2010,Cyprus,From 11 to 15 years,0
2010,Cyprus,From 12 to 17 years,14846
2010,Cyprus,Less than 16 years,15559
2010,Cyprus,From 16 to 24 years,15447
2010,Cyprus,From 16 to 64 years,17082
2010,Cyprus,16 years or over,16281
2010,Cyprus,Less than 18 years,15424
2010,Cyprus,From 18 to 24 years,15789
2010,Cyprus,From 18 to 64 years,17256
2010,Cyprus,18 years or over,16371
2010,Cyprus,From 25 to 49 years,17377
2010,Cyprus,From 25 to 54 years,17675
2010,Cyprus,From 50 to 64 years,18286
2010,Cyprus,From 55 to 64 years,17933
2010,Cyprus,Less than 60 years,16583
2010,Cyprus,60 years or over,12091
2010,Cyprus,Less than 65 years,16632
2010,Cyprus,From 65 to 74 years,0
2010,Cyprus,65 years or over,10877
2010,Cyprus,Less than 75 years,16437
2010,Cyprus,75 years or over,9458
2010,Latvia,Total,4488
2010,Latvia,Less than 6 years,4961
2010,Latvia,From 6 to 11 years,4303
2010,Latvia,From 11 to 15 years,0
2010,Latvia,From 12 to 17 years,4021
2010,Latvia,Less than 16 years,4472
2010,Latvia,From 16 to 24 years,4470
2010,Latvia,From 16 to 64 years,4865
2010,Latvia,16 years or over,4490
2010,Latvia,Less than 18 years,4405
2010,Latvia,From 18 to 24 years,4654
2010,Latvia,From 18 to 64 years,4899
2010,Latvia,18 years or over,4515
2010,Latvia,From 25 to 49 years,5086
2010,Latvia,From 25 to 54 years,5027
2010,Latvia,From 50 to 64 years,4749
2010,Latvia,From 55 to 64 years,4691
2010,Latvia,Less than 60 years,4819
2010,Latvia,60 years or over,3830
2010,Latvia,Less than 65 years,4802
2010,Latvia,From 65 to 74 years,0
2010,Latvia,65 years or over,3726
2010,Latvia,Less than 75 years,4662
2010,Latvia,75 years or over,3445
2010,Lithuania,Total,4030
2010,Lithuania,Less than 6 years,4343
2010,Lithuania,From 6 to 11 years,3789
2010,Lithuania,From 11 to 15 years,0
2010,Lithuania,From 12 to 17 years,3493
2010,Lithuania,Less than 16 years,3914
2010,Lithuania,From 16 to 24 years,3743
2010,Lithuania,From 16 to 64 years,4144
2010,Lithuania,16 years or over,4056
2010,Lithuania,Less than 18 years,3859
2010,Lithuania,From 18 to 24 years,3820
2010,Lithuania,From 18 to 64 years,4168
2010,Lithuania,18 years or over,4075
2010,Lithuania,From 25 to 49 years,4270
2010,Lithuania,From 25 to 54 years,4283
2010,Lithuania,From 50 to 64 years,4283
2010,Lithuania,From 55 to 64 years,4270
2010,Lithuania,Less than 60 years,4088
2010,Lithuania,60 years or over,3887
2010,Lithuania,Less than 65 years,4091
2010,Lithuania,From 65 to 74 years,0
2010,Lithuania,65 years or over,3802
2010,Lithuania,Less than 75 years,4065
2010,Lithuania,75 years or over,3699
2010,Luxembourg,Total,32333
2010,Luxembourg,Less than 6 years,29055
2010,Luxembourg,From 6 to 11 years,27560
2010,Luxembourg,From 11 to 15 years,0
2010,Luxembourg,From 12 to 17 years,26776
2010,Luxembourg,Less than 16 years,28161
2010,Luxembourg,From 16 to 24 years,27080
2010,Luxembourg,From 16 to 64 years,33082
2010,Luxembourg,16 years or over,33245
2010,Luxembourg,Less than 18 years,27594
2010,Luxembourg,From 18 to 24 years,27554
2010,Luxembourg,From 18 to 64 years,33417
2010,Luxembourg,18 years or over,33435
2010,Luxembourg,From 25 to 49 years,33397
2010,Luxembourg,From 25 to 54 years,33788
2010,Luxembourg,From 50 to 64 years,35968
2010,Luxembourg,From 55 to 64 years,36526
2010,Luxembourg,Less than 60 years,31692
2010,Luxembourg,60 years or over,34158
2010,Luxembourg,Less than 65 years,32063
2010,Luxembourg,From 65 to 74 years,0
2010,Luxembourg,65 years or over,33637
2010,Luxembourg,Less than 75 years,32243
2010,Luxembourg,75 years or over,33638
2010,Hungary,Total,4241
2010,Hungary,Less than 6 years,3798
2010,Hungary,From 6 to 11 years,3811
2010,Hungary,From 11 to 15 years,0
2010,Hungary,From 12 to 17 years,3617
2010,Hungary,Less than 16 years,3767
2010,Hungary,From 16 to 24 years,3945
2010,Hungary,From 16 to 64 years,4349
2010,Hungary,16 years or over,4334
2010,Hungary,Less than 18 years,3754
2010,Hungary,From 18 to 24 years,4003
2010,Hungary,From 18 to 64 years,4376
2010,Hungary,18 years or over,4358
2010,Hungary,From 25 to 49 years,4332
2010,Hungary,From 25 to 54 years,4365
2010,Hungary,From 50 to 64 years,4612
2010,Hungary,From 55 to 64 years,4661
2010,Hungary,Less than 60 years,4201
2010,Hungary,60 years or over,4376
2010,Hungary,Less than 65 years,4232
2010,Hungary,From 65 to 74 years,0
2010,Hungary,65 years or over,4281
2010,Hungary,Less than 75 years,4240
2010,Hungary,75 years or over,4247
2010,Malta,Total,10435
2010,Malta,Less than 6 years,9130
2010,Malta,From 6 to 11 years,9436
2010,Malta,From 11 to 15 years,0
2010,Malta,From 12 to 17 years,8868
2010,Malta,Less than 16 years,9093
2010,Malta,From 16 to 24 years,10649
2010,Malta,From 16 to 64 years,11182
2010,Malta,16 years or over,10655
2010,Malta,Less than 18 years,9089
2010,Malta,From 18 to 24 years,11180
2010,Malta,From 18 to 64 years,11278
2010,Malta,18 years or over,10716
2010,Malta,From 25 to 49 years,11472
2010,Malta,From 25 to 54 years,11575
2010,Malta,From 50 to 64 years,11182
2010,Malta,From 55 to 64 years,10777
2010,Malta,Less than 60 years,10755
2010,Malta,60 years or over,8968
2010,Malta,Less than 65 years,10676
2010,Malta,From 65 to 74 years,0
2010,Malta,65 years or over,8669
2010,Malta,Less than 75 years,10545
2010,Malta,75 years or over,8459
2010,Netherlands,Total,20292
2010,Netherlands,Less than 6 years,19940
2010,Netherlands,From 6 to 11 years,18584
2010,Netherlands,From 11 to 15 years,0
2010,Netherlands,From 12 to 17 years,18260
2010,Netherlands,Less than 16 years,18940
2010,Netherlands,From 16 to 24 years,19147
2010,Netherlands,From 16 to 64 years,21309
2010,Netherlands,16 years or over,20710
2010,Netherlands,Less than 18 years,18920
2010,Netherlands,From 18 to 24 years,19299
2010,Netherlands,From 18 to 64 years,21478
2010,Netherlands,18 years or over,20777
2010,Netherlands,From 25 to 49 years,21537
2010,Netherlands,From 25 to 54 years,21855
2010,Netherlands,From 50 to 64 years,22484
2010,Netherlands,From 55 to 64 years,21927
2010,Netherlands,Less than 60 years,20736
2010,Netherlands,60 years or over,18618
2010,Netherlands,Less than 65 years,20719
2010,Netherlands,From 65 to 74 years,0
2010,Netherlands,65 years or over,18041
2010,Netherlands,Less than 75 years,20627
2010,Netherlands,75 years or over,16850
2010,Austria,Total,21058
2010,Austria,Less than 6 years,17420
2010,Austria,From 6 to 11 years,18353
2010,Austria,From 11 to 15 years,0
2010,Austria,From 12 to 17 years,19404
2010,Austria,Less than 16 years,18003
2010,Austria,From 16 to 24 years,21455
2010,Austria,From 16 to 64 years,22318
2010,Austria,16 years or over,21719
2010,Austria,Less than 18 years,18266
2010,Austria,From 18 to 24 years,21557
2010,Austria,From 18 to 64 years,22386
2010,Austria,18 years or over,21738
2010,Austria,From 25 to 49 years,21894
2010,Austria,From 25 to 54 years,22362
2010,Austria,From 50 to 64 years,23956
2010,Austria,From 55 to 64 years,23328
2010,Austria,Less than 60 years,21348
2010,Austria,60 years or over,19928
2010,Austria,Less than 65 years,21447
2010,Austria,From 65 to 74 years,0
2010,Austria,65 years or over,19269
2010,Austria,Less than 75 years,21295
2010,Austria,75 years or over,17910
2010,Poland,Total,4405
2010,Poland,Less than 6 years,4297
2010,Poland,From 6 to 11 years,4133
2010,Poland,From 11 to 15 years,0
2010,Poland,From 12 to 17 years,3761
2010,Poland,Less than 16 years,4087
2010,Poland,From 16 to 24 years,4059
2010,Poland,From 16 to 64 years,4550
2010,Poland,16 years or over,4465
2010,Poland,Less than 18 years,4048
2010,Poland,From 18 to 24 years,4144
2010,Poland,From 18 to 64 years,4584
2010,Poland,18 years or over,4493
2010,Poland,From 25 to 49 years,4739
2010,Poland,From 25 to 54 years,4716
2010,Poland,From 50 to 64 years,4570
2010,Poland,From 55 to 64 years,4516
2010,Poland,Less than 60 years,4457
2010,Poland,60 years or over,4246
2010,Poland,Less than 65 years,4461
2010,Poland,From 65 to 74 years,0
2010,Poland,65 years or over,4146
2010,Poland,Less than 75 years,4424
2010,Poland,75 years or over,4159
2010,Portugal,Total,8678
2010,Portugal,Less than 6 years,9070
2010,Portugal,From 6 to 11 years,7979
2010,Portugal,From 11 to 15 years,0
2010,Portugal,From 12 to 17 years,6935
2010,Portugal,Less than 16 years,8085
2010,Portugal,From 16 to 24 years,7934
2010,Portugal,From 16 to 64 years,9200
2010,Portugal,16 years or over,8799
2010,Portugal,Less than 18 years,7933
2010,Portugal,From 18 to 24 years,8181
2010,Portugal,From 18 to 64 years,9284
2010,Portugal,18 years or over,8881
2010,Portugal,From 25 to 49 years,9337
2010,Portugal,From 25 to 54 years,9430
2010,Portugal,From 50 to 64 years,9579
2010,Portugal,From 55 to 64 years,9180
2010,Portugal,Less than 60 years,8988
2010,Portugal,60 years or over,7733
2010,Portugal,Less than 65 years,8998
2010,Portugal,From 65 to 74 years,0
2010,Portugal,65 years or over,7386
2010,Portugal,Less than 75 years,8925
2010,Portugal,75 years or over,6636
2010,Romania,Total,2036
2010,Romania,Less than 6 years,1812
2010,Romania,From 6 to 11 years,1683
2010,Romania,From 11 to 15 years,0
2010,Romania,From 12 to 17 years,1669
2010,Romania,Less than 16 years,1697
2010,Romania,From 16 to 24 years,1857
2010,Romania,From 16 to 64 years,2131
2010,Romania,16 years or over,2097
2010,Romania,Less than 18 years,1696
2010,Romania,From 18 to 24 years,1896
2010,Romania,From 18 to 64 years,2156
2010,Romania,18 years or over,2112
2010,Romania,From 25 to 49 years,2138
2010,Romania,From 25 to 54 years,2158
2010,Romania,From 50 to 64 years,2347
2010,Romania,From 55 to 64 years,2382
2010,Romania,Less than 60 years,2027
2010,Romania,60 years or over,2073
2010,Romania,Less than 65 years,2051
2010,Romania,From 65 to 74 years,0
2010,Romania,65 years or over,1981
2010,Romania,Less than 75 years,2054
2010,Romania,75 years or over,1824
2010,Slovenia,Total,11736
2010,Slovenia,Less than 6 years,12012
2010,Slovenia,From 6 to 11 years,11346
2010,Slovenia,From 11 to 15 years,0
2010,Slovenia,From 12 to 17 years,11050
2010,Slovenia,Less than 16 years,11534
2010,Slovenia,From 16 to 24 years,11596
2010,Slovenia,From 16 to 64 years,12058
2010,Slovenia,16 years or over,11766
2010,Slovenia,Less than 18 years,11458
2010,Slovenia,From 18 to 24 years,11735
2010,Slovenia,From 18 to 64 years,12096
2010,Slovenia,18 years or over,11792
2010,Slovenia,From 25 to 49 years,12255
2010,Slovenia,From 25 to 54 years,12330
2010,Slovenia,From 50 to 64 years,11985
2010,Slovenia,From 55 to 64 years,11542
2010,Slovenia,Less than 60 years,12011
2010,Slovenia,60 years or over,10662
2010,Slovenia,Less than 65 years,11981
2010,Slovenia,From 65 to 74 years,0
2010,Slovenia,65 years or over,10419
2010,Slovenia,Less than 75 years,11864
2010,Slovenia,75 years or over,9891
2010,Slovakia,Total,6117
2010,Slovakia,Less than 6 years,5731
2010,Slovakia,From 6 to 11 years,5834
2010,Slovakia,From 11 to 15 years,0
2010,Slovakia,From 12 to 17 years,5466
2010,Slovakia,Less than 16 years,5708
2010,Slovakia,From 16 to 24 years,5750
2010,Slovakia,From 16 to 64 years,6455
2010,Slovakia,16 years or over,6193
2010,Slovakia,Less than 18 years,5624
2010,Slovakia,From 18 to 24 years,5859
2010,Slovakia,From 18 to 64 years,6520
2010,Slovakia,18 years or over,6224
2010,Slovakia,From 25 to 49 years,6617
2010,Slovakia,From 25 to 54 years,6686
2010,Slovakia,From 50 to 64 years,6740
2010,Slovakia,From 55 to 64 years,6588
2010,Slovakia,Less than 60 years,6355
2010,Slovakia,60 years or over,5506
2010,Slovakia,Less than 65 years,6349
2010,Slovakia,From 65 to 74 years,0
2010,Slovakia,65 years or over,5283
2010,Slovakia,Less than 75 years,6200
2010,Slovakia,75 years or over,5196
2010,Finland,Total,21349
2010,Finland,Less than 6 years,20263
2010,Finland,From 6 to 11 years,21597
2010,Finland,From 11 to 15 years,0
2010,Finland,From 12 to 17 years,20496
2010,Finland,Less than 16 years,20759
2010,Finland,From 16 to 24 years,18759
2010,Finland,From 16 to 64 years,22745
2010,Finland,16 years or over,21480
2010,Finland,Less than 18 years,20733
2010,Finland,From 18 to 24 years,17995
2010,Finland,From 18 to 64 years,22899
2010,Finland,18 years or over,21523
2010,Finland,From 25 to 49 years,23058
2010,Finland,From 25 to 54 years,23350
2010,Finland,From 50 to 64 years,24467
2010,Finland,From 55 to 64 years,24278
2010,Finland,Less than 60 years,22173
2010,Finland,60 years or over,18892
2010,Finland,Less than 65 years,22253
2010,Finland,From 65 to 74 years,0
2010,Finland,65 years or over,17400
2010,Finland,Less than 75 years,21886
2010,Finland,75 years or over,15546
2010,Sweden,Total,18897
2010,Sweden,Less than 6 years,18179
2010,Sweden,From 6 to 11 years,18248
2010,Sweden,From 11 to 15 years,0
2010,Sweden,From 12 to 17 years,17783
2010,Sweden,Less than 16 years,18180
2010,Sweden,From 16 to 24 years,15984
2010,Sweden,From 16 to 64 years,20127
2010,Sweden,16 years or over,19080
2010,Sweden,Less than 18 years,18062
2010,Sweden,From 18 to 24 years,15209
2010,Sweden,From 18 to 64 years,20282
2010,Sweden,18 years or over,19170
2010,Sweden,From 25 to 49 years,19897
2010,Sweden,From 25 to 54 years,20293
2010,Sweden,From 50 to 64 years,23604
2010,Sweden,From 55 to 64 years,23723
2010,Sweden,Less than 60 years,19448
2010,Sweden,60 years or over,16977
2010,Sweden,Less than 65 years,19707
2010,Sweden,From 65 to 74 years,0
2010,Sweden,65 years or over,15497
2010,Sweden,Less than 75 years,19508
2010,Sweden,75 years or over,13405
2010,Iceland,Total,18320
2010,Iceland,Less than 6 years,16608
2010,Iceland,From 6 to 11 years,17072
2010,Iceland,From 11 to 15 years,0
2010,Iceland,From 12 to 17 years,17054
2010,Iceland,Less than 16 years,16820
2010,Iceland,From 16 to 24 years,17441
2010,Iceland,From 16 to 64 years,19054
2010,Iceland,16 years or over,18807
2010,Iceland,Less than 18 years,16886
2010,Iceland,From 18 to 24 years,17374
2010,Iceland,From 18 to 64 years,19106
2010,Iceland,18 years or over,18837
2010,Iceland,From 25 to 49 years,18295
2010,Iceland,From 25 to 54 years,18691
2010,Iceland,From 50 to 64 years,21832
2010,Iceland,From 55 to 64 years,22767
2010,Iceland,Less than 60 years,18225
2010,Iceland,60 years or over,18978
2010,Iceland,Less than 65 years,18406
2010,Iceland,From 65 to 74 years,0
2010,Iceland,65 years or over,17754
2010,Iceland,Less than 75 years,18488
2010,Iceland,75 years or over,15418
2010,Norway,Total,32399
2010,Norway,Less than 6 years,31623
2010,Norway,From 6 to 11 years,30867
2010,Norway,From 11 to 15 years,0
2010,Norway,From 12 to 17 years,30164
2010,Norway,Less than 16 years,30897
2010,Norway,From 16 to 24 years,26807
2010,Norway,From 16 to 64 years,34202
2010,Norway,16 years or over,32959
2010,Norway,Less than 18 years,30824
2010,Norway,From 18 to 24 years,25238
2010,Norway,From 18 to 64 years,34480
2010,Norway,18 years or over,33150
2010,Norway,From 25 to 49 years,33973
2010,Norway,From 25 to 54 years,34632
2010,Norway,From 50 to 64 years,38398
2010,Norway,From 55 to 64 years,38661
2010,Norway,Less than 60 years,32919
2010,Norway,60 years or over,30468
2010,Norway,Less than 65 years,33249
2010,Norway,From 65 to 74 years,0
2010,Norway,65 years or over,28173
2010,Norway,Less than 75 years,33087
2010,Norway,75 years or over,24679
2010,Switzerland,Total,30666
2010,Switzerland,Less than 6 years,26101
2010,Switzerland,From 6 to 11 years,27057
2010,Switzerland,From 11 to 15 years,0
2010,Switzerland,From 12 to 17 years,26135
2010,Switzerland,Less than 16 years,26355
2010,Switzerland,From 16 to 24 years,29576
2010,Switzerland,From 16 to 64 years,33057
2010,Switzerland,16 years or over,31515
2010,Switzerland,Less than 18 years,26485
2010,Switzerland,From 18 to 24 years,30565
2010,Switzerland,From 18 to 64 years,33384
2010,Switzerland,18 years or over,31680
2010,Switzerland,From 25 to 49 years,32711
2010,Switzerland,From 25 to 54 years,33449
2010,Switzerland,From 50 to 64 years,35965
2010,Switzerland,From 55 to 64 years,35744
2010,Switzerland,Less than 60 years,31259
2010,Switzerland,60 years or over,27333
2010,Switzerland,Less than 65 years,31442
2010,Switzerland,From 65 to 74 years,0
2010,Switzerland,65 years or over,25032
2010,Switzerland,Less than 75 years,31063
2010,Switzerland,75 years or over,22839
2010,United Kingdom,Total,17106
2010,United Kingdom,Less than 6 years,15204
2010,United Kingdom,From 6 to 11 years,15342
2010,United Kingdom,From 11 to 15 years,0
2010,United Kingdom,From 12 to 17 years,15140
2010,United Kingdom,Less than 16 years,15247
2010,United Kingdom,From 16 to 24 years,15573
2010,United Kingdom,From 16 to 64 years,18710
2010,United Kingdom,16 years or over,17640
2010,United Kingdom,Less than 18 years,15203
2010,United Kingdom,From 18 to 24 years,15869
2010,United Kingdom,From 18 to 64 years,18871
2010,United Kingdom,18 years or over,17793
2010,United Kingdom,From 25 to 49 years,19132
2010,United Kingdom,From 25 to 54 years,19241
2010,United Kingdom,From 50 to 64 years,19422
2010,United Kingdom,From 55 to 64 years,19026
2010,United Kingdom,Less than 60 years,17868
2010,United Kingdom,60 years or over,15329
2010,United Kingdom,Less than 65 years,17875
2010,United Kingdom,From 65 to 74 years,0
2010,United Kingdom,65 years or over,14535
2010,United Kingdom,Less than 75 years,17644
2010,United Kingdom,75 years or over,13555
2010,North Macedonia,Total,0
2010,North Macedonia,Less than 6 years,0
2010,North Macedonia,From 6 to 11 years,0
2010,North Macedonia,From 11 to 15 years,0
2010,North Macedonia,From 12 to 17 years,0
2010,North Macedonia,Less than 16 years,0
2010,North Macedonia,From 16 to 24 years,0
2010,North Macedonia,From 16 to 64 years,0
2010,North Macedonia,16 years or over,0
2010,North Macedonia,Less than 18 years,0
2010,North Macedonia,From 18 to 24 years,0
2010,North Macedonia,From 18 to 64 years,0
2010,North Macedonia,18 years or over,0
2010,North Macedonia,From 25 to 49 years,0
2010,North Macedonia,From 25 to 54 years,0
2010,North Macedonia,From 50 to 64 years,0
2010,North Macedonia,From 55 to 64 years,0
2010,North Macedonia,Less than 60 years,0
2010,North Macedonia,60 years or over,0
2010,North Macedonia,Less than 65 years,0
2010,North Macedonia,From 65 to 74 years,0
2010,North Macedonia,65 years or over,0
2010,North Macedonia,Less than 75 years,0
2010,North Macedonia,75 years or over,0
2010,Serbia,Total,0
2010,Serbia,Less than 6 years,0
2010,Serbia,From 6 to 11 years,0
2010,Serbia,From 11 to 15 years,0
2010,Serbia,From 12 to 17 years,0
2010,Serbia,Less than 16 years,0
2010,Serbia,From 16 to 24 years,0
2010,Serbia,From 16 to 64 years,0
2010,Serbia,16 years or over,0
2010,Serbia,Less than 18 years,0
2010,Serbia,From 18 to 24 years,0
2010,Serbia,From 18 to 64 years,0
2010,Serbia,18 years or over,0
2010,Serbia,From 25 to 49 years,0
2010,Serbia,From 25 to 54 years,0
2010,Serbia,From 50 to 64 years,0
2010,Serbia,From 55 to 64 years,0
2010,Serbia,Less than 60 years,0
2010,Serbia,60 years or over,0
2010,Serbia,Less than 65 years,0
2010,Serbia,From 65 to 74 years,0
2010,Serbia,65 years or over,0
2010,Serbia,Less than 75 years,0
2010,Serbia,75 years or over,0
2011,Belgium,Total,20008
2011,Belgium,Less than 6 years,19772
2011,Belgium,From 6 to 11 years,20139
2011,Belgium,From 11 to 15 years,0
2011,Belgium,From 12 to 17 years,18347
2011,Belgium,Less than 16 years,19622
2011,Belgium,From 16 to 24 years,19130
2011,Belgium,From 16 to 64 years,21280
2011,Belgium,16 years or over,20063
2011,Belgium,Less than 18 years,19296
2011,Belgium,From 18 to 24 years,19756
2011,Belgium,From 18 to 64 years,21448
2011,Belgium,18 years or over,20160
2011,Belgium,From 25 to 49 years,21878
2011,Belgium,From 25 to 54 years,21909
2011,Belgium,From 50 to 64 years,21418
2011,Belgium,From 55 to 64 years,20733
2011,Belgium,Less than 60 years,21058
2011,Belgium,60 years or over,16230
2011,Belgium,Less than 65 years,20916
2011,Belgium,From 65 to 74 years,0
2011,Belgium,65 years or over,15398
2011,Belgium,Less than 75 years,20454
2011,Belgium,75 years or over,14681
2011,Bulgaria,Total,2914
2011,Bulgaria,Less than 6 years,2886
2011,Bulgaria,From 6 to 11 years,2601
2011,Bulgaria,From 11 to 15 years,0
2011,Bulgaria,From 12 to 17 years,2566
2011,Bulgaria,Less than 16 years,2717
2011,Bulgaria,From 16 to 24 years,2774
2011,Bulgaria,From 16 to 64 years,3190
2011,Bulgaria,16 years or over,2945
2011,Bulgaria,Less than 18 years,2680
2011,Bulgaria,From 18 to 24 years,2880
2011,Bulgaria,From 18 to 64 years,3206
2011,Bulgaria,18 years or over,2958
2011,Bulgaria,From 25 to 49 years,3246
2011,Bulgaria,From 25 to 54 years,3274
2011,Bulgaria,From 50 to 64 years,3274
2011,Bulgaria,From 55 to 64 years,3186
2011,Bulgaria,Less than 60 years,3105
2011,Bulgaria,60 years or over,2416
2011,Bulgaria,Less than 65 years,3102
2011,Bulgaria,From 65 to 74 years,0
2011,Bulgaria,65 years or over,2230
2011,Bulgaria,Less than 75 years,2980
2011,Bulgaria,75 years or over,2036
2011,Czechia,Total,7451
2011,Czechia,Less than 6 years,7317
2011,Czechia,From 6 to 11 years,7037
2011,Czechia,From 11 to 15 years,0
2011,Czechia,From 12 to 17 years,6645
2011,Czechia,Less than 16 years,7113
2011,Czechia,From 16 to 24 years,7153
2011,Czechia,From 16 to 64 years,7934
2011,Czechia,16 years or over,7528
2011,Czechia,Less than 18 years,7051
2011,Czechia,From 18 to 24 years,7358
2011,Czechia,From 18 to 64 years,8019
2011,Czechia,18 years or over,7567
2011,Czechia,From 25 to 49 years,8092
2011,Czechia,From 25 to 54 years,8175
2011,Czechia,From 50 to 64 years,8137
2011,Czechia,From 55 to 64 years,7936
2011,Czechia,Less than 60 years,7804
2011,Czechia,60 years or over,6609
2011,Czechia,Less than 65 years,7755
2011,Czechia,From 65 to 74 years,0
2011,Czechia,65 years or over,6348
2011,Czechia,Less than 75 years,7588
2011,Czechia,75 years or over,6119
2011,Denmark,Total,26944
2011,Denmark,Less than 6 years,27622
2011,Denmark,From 6 to 11 years,27091
2011,Denmark,From 11 to 15 years,0
2011,Denmark,From 12 to 17 years,26170
2011,Denmark,Less than 16 years,27036
2011,Denmark,From 16 to 24 years,23297
2011,Denmark,From 16 to 64 years,28823
2011,Denmark,16 years or over,26890
2011,Denmark,Less than 18 years,26973
2011,Denmark,From 18 to 24 years,21882
2011,Denmark,From 18 to 64 years,28919
2011,Denmark,18 years or over,26915
2011,Denmark,From 25 to 49 years,28832
2011,Denmark,From 25 to 54 years,29491
2011,Denmark,From 50 to 64 years,32195
2011,Denmark,From 55 to 64 years,31545
2011,Denmark,Less than 60 years,28307
2011,Denmark,60 years or over,22707
2011,Denmark,Less than 65 years,28331
2011,Denmark,From 65 to 74 years,0
2011,Denmark,65 years or over,21016
2011,Denmark,Less than 75 years,27749
2011,Denmark,75 years or over,19317
2011,Germany (until 1990 former territory of the FRG),Total,19043
2011,Germany (until 1990 former territory of the FRG),Less than 6 years,17821
2011,Germany (until 1990 former territory of the FRG),From 6 to 11 years,17857
2011,Germany (until 1990 former territory of the FRG),From 11 to 15 years,0
2011,Germany (until 1990 former territory of the FRG),From 12 to 17 years,17522
2011,Germany (until 1990 former territory of the FRG),Less than 16 years,17709
2011,Germany (until 1990 former territory of the FRG),From 16 to 24 years,18230
2011,Germany (until 1990 former territory of the FRG),From 16 to 64 years,20047
2011,Germany (until 1990 former territory of the FRG),16 years or over,19297
2011,Germany (until 1990 former territory of the FRG),Less than 18 years,17707
2011,Germany (until 1990 former territory of the FRG),From 18 to 24 years,18565
2011,Germany (until 1990 former territory of the FRG),From 18 to 64 years,20176
2011,Germany (until 1990 former territory of the FRG),18 years or over,19367
2011,Germany (until 1990 former territory of the FRG),From 25 to 49 years,20479
2011,Germany (until 1990 former territory of the FRG),From 25 to 54 years,20703
2011,Germany (until 1990 former territory of the FRG),From 50 to 64 years,20227
2011,Germany (until 1990 former territory of the FRG),From 55 to 64 years,19087
2011,Germany (until 1990 former territory of the FRG),Less than 60 years,19702
2011,Germany (until 1990 former territory of the FRG),60 years or over,17613
2011,Germany (until 1990 former territory of the FRG),Less than 65 years,19533
2011,Germany (until 1990 former territory of the FRG),From 65 to 74 years,0
2011,Germany (until 1990 former territory of the FRG),65 years or over,17611
2011,Germany (until 1990 former territory of the FRG),Less than 75 years,19158
2011,Germany (until 1990 former territory of the FRG),75 years or over,18131
2011,Estonia,Total,5598
2011,Estonia,Less than 6 years,6765
2011,Estonia,From 6 to 11 years,5637
2011,Estonia,From 11 to 15 years,0
2011,Estonia,From 12 to 17 years,5498
2011,Estonia,Less than 16 years,6008
2011,Estonia,From 16 to 24 years,5539
2011,Estonia,From 16 to 64 years,6061
2011,Estonia,16 years or over,5514
2011,Estonia,Less than 18 years,5923
2011,Estonia,From 18 to 24 years,5536
2011,Estonia,From 18 to 64 years,6087
2011,Estonia,18 years or over,5513
2011,Estonia,From 25 to 49 years,6596
2011,Estonia,From 25 to 54 years,6321
2011,Estonia,From 50 to 64 years,5544
2011,Estonia,From 55 to 64 years,5752
2011,Estonia,Less than 60 years,6076
2011,Estonia,60 years or over,4700
2011,Estonia,Less than 65 years,6059
2011,Estonia,From 65 to 74 years,0
2011,Estonia,65 years or over,4538
2011,Estonia,Less than 75 years,5780
2011,Estonia,75 years or over,4284
2011,Ireland,Total,19726
2011,Ireland,Less than 6 years,19852
2011,Ireland,From 6 to 11 years,18654
2011,Ireland,From 11 to 15 years,0
2011,Ireland,From 12 to 17 years,17029
2011,Ireland,Less than 16 years,18704
2011,Ireland,From 16 to 24 years,17343
2011,Ireland,From 16 to 64 years,20973
2011,Ireland,16 years or over,20117
2011,Ireland,Less than 18 years,18471
2011,Ireland,From 18 to 24 years,17681
2011,Ireland,From 18 to 64 years,21193
2011,Ireland,18 years or over,20275
2011,Ireland,From 25 to 49 years,21909
2011,Ireland,From 25 to 54 years,21928
2011,Ireland,From 50 to 64 years,21389
2011,Ireland,From 55 to 64 years,20763
2011,Ireland,Less than 60 years,20160
2011,Ireland,60 years or over,18006
2011,Ireland,Less than 65 years,20152
2011,Ireland,From 65 to 74 years,0
2011,Ireland,65 years or over,17343
2011,Ireland,Less than 75 years,20072
2011,Ireland,75 years or over,16598
2011,Greece,Total,10985
2011,Greece,Less than 6 years,11214
2011,Greece,From 6 to 11 years,10261
2011,Greece,From 11 to 15 years,0
2011,Greece,From 12 to 17 years,10804
2011,Greece,Less than 16 years,10894
2011,Greece,From 16 to 24 years,9640
2011,Greece,From 16 to 64 years,11565
2011,Greece,16 years or over,11014
2011,Greece,Less than 18 years,10804
2011,Greece,From 18 to 24 years,9254
