"TIME","GEO","C_BIRTH","AGE","SEX","UNIT","Value"
"2018","Sweden","Total","From 15 to 19 years","Total","Number","544 838"
"2018","Sweden","Total","From 20 to 24 years","Total","Number","616 919"
"2018","Sweden","Total","From 25 to 29 years","Total","Number","734 003"
"2018","Iceland","Total","From 15 to 29 years","Total","Number","75 577"
"2018","Iceland","Total","From 15 to 19 years","Total","Number","21 925"
"2018","Iceland","Total","From 20 to 24 years","Total","Number","25 721"
"2018","Iceland","Total","From 25 to 29 years","Total","Number","27 931"
"2018","Liechtenstein","Total","From 15 to 29 years","Total","Number","6 582"
"2018","Liechtenstein","Total","From 15 to 19 years","Total","Number","2 036"
"2018","Liechtenstein","Total","From 20 to 24 years","Total","Number","2 262"
"2018","Liechtenstein","Total","From 25 to 29 years","Total","Number","2 284"
"2018","Norway","Total","From 15 to 29 years","Total","Number","1 035 904"
"2018","Norway","Total","From 15 to 19 years","Total","Number","321 959"
"2018","Norway","Total","From 20 to 24 years","Total","Number","342 370"
"2018","Norway","Total","From 25 to 29 years","Total","Number","371 575"
"2018","Switzerland","Total","From 15 to 29 years","Total","Number","1 492 965"
"2018","Switzerland","Total","From 15 to 19 years","Total","Number","431 439"
"2018","Switzerland","Total","From 20 to 24 years","Total","Number","488 709"
"2018","Switzerland","Total","From 25 to 29 years","Total","Number","572 817"
"2018","United Kingdom","Total","From 15 to 29 years","Total","Number","12 418 221"
"2018","United Kingdom","Total","From 15 to 19 years","Total","Number","3 678 852"
"2018","United Kingdom","Total","From 20 to 24 years","Total","Number","4 194 671"
"2018","United Kingdom","Total","From 25 to 29 years","Total","Number","4 544 698"
"2018","North Macedonia","Total","From 15 to 29 years","Total","Number",":"
"2018","North Macedonia","Total","From 15 to 19 years","Total","Number",":"
"2018","North Macedonia","Total","From 20 to 24 years","Total","Number",":"
"2018","North Macedonia","Total","From 25 to 29 years","Total","Number",":"
"2018","Albania","Total","From 15 to 29 years","Total","Number",":"
"2018","Albania","Total","From 15 to 19 years","Total","Number",":"
"2018","Albania","Total","From 20 to 24 years","Total","Number",":"
"2018","Albania","Total","From 25 to 29 years","Total","Number",":"
"2018","Serbia","Total","From 15 to 29 years","Total","Number",":"
"2018","Serbia","Total","From 15 to 19 years","Total","Number",":"
"2018","Serbia","Total","From 20 to 24 years","Total","Number",":"
"2018","Serbia","Total","From 25 to 29 years","Total","Number",":"
"2018","Turkey","Total","From 15 to 29 years","Total","Number",":"
"2018","Turkey","Total","From 15 to 19 years","Total","Number",":"
"2018","Turkey","Total","From 20 to 24 years","Total","Number",":"
"2018","Turkey","Total","From 25 to 29 years","Total","Number",":"
"2018","Andorra","Total","From 15 to 29 years","Total","Number",":"
"2018","Andorra","Total","From 15 to 19 years","Total","Number",":"
"2018","Andorra","Total","From 20 to 24 years","Total","Number",":"
"2018","Andorra","Total","From 25 to 29 years","Total","Number",":"
"2018","Ukraine","Total","From 15 to 29 years","Total","Number",":"
"2018","Ukraine","Total","From 15 to 19 years","Total","Number",":"
"2018","Ukraine","Total","From 20 to 24 years","Total","Number",":"
"2018","Ukraine","Total","From 25 to 29 years","Total","Number",":"
"2018","Montenegro","Total","From 15 to 29 years","Total","Number",":"
"2018","Montenegro","Total","From 15 to 19 years","Total","Number",":"
"2018","Montenegro","Total","From 20 to 24 years","Total","Number",":"
"2018","Montenegro","Total","From 25 to 29 years","Total","Number",":"
"2019","Belgium","Total","From 15 to 29 years","Total","Number","2 048 369"
"2019","Belgium","Total","From 15 to 19 years","Total","Number","631 502"
"2019","Belgium","Total","From 20 to 24 years","Total","Number","670 320"
"2019","Belgium","Total","From 25 to 29 years","Total","Number","746 547"
"2019","Bulgaria","Total","From 15 to 29 years","Total","Number","1 042 915"
"2019","Bulgaria","Total","From 15 to 19 years","Total","Number","315 547"
"2019","Bulgaria","Total","From 20 to 24 years","Total","Number","307 744"
"2019","Bulgaria","Total","From 25 to 29 years","Total","Number","419 624"
"2019","Czechia","Total","From 15 to 29 years","Total","Number","1 634 385"
"2019","Czechia","Total","From 15 to 19 years","Total","Number","467 391"
"2019","Czechia","Total","From 20 to 24 years","Total","Number","498 017"
"2019","Czechia","Total","From 25 to 29 years","Total","Number","668 977"
"2019","Denmark","Total","From 15 to 29 years","Total","Number","1 128 294"
"2019","Denmark","Total","From 15 to 19 years","Total","Number","344 415"
"2019","Denmark","Total","From 20 to 24 years","Total","Number","388 990"
"2019","Denmark","Total","From 25 to 29 years","Total","Number","394 889"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Total","Number","13 804 084"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Total","Number","4 003 477"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 20 to 24 years","Total","Number","4 607 272"
"2019","Germany (until 1990 former territory of the FRG)","Total","From 25 to 29 years","Total","Number","5 193 335"
"2019","Estonia","Total","From 15 to 29 years","Total","Number","214 052"
"2019","Estonia","Total","From 15 to 19 years","Total","Number","61 227"
"2019","Estonia","Total","From 20 to 24 years","Total","Number","64 692"
"2019","Estonia","Total","From 25 to 29 years","Total","Number","88 133"
"2019","Ireland","Total","From 15 to 29 years","Total","Number","905 240"
"2019","Ireland","Total","From 15 to 19 years","Total","Number","319 337"
"2019","Ireland","Total","From 20 to 24 years","Total","Number","296 182"
"2019","Ireland","Total","From 25 to 29 years","Total","Number","289 721"
"2019","Greece","Total","From 15 to 29 years","Total","Number","1 667 431"
"2019","Greece","Total","From 15 to 19 years","Total","Number","546 137"
"2019","Greece","Total","From 20 to 24 years","Total","Number","552 322"
"2019","Greece","Total","From 25 to 29 years","Total","Number","568 972"
"2019","Spain","Total","From 15 to 29 years","Total","Number","7 145 603"
"2019","Spain","Total","From 15 to 19 years","Total","Number","2 332 161"
"2019","Spain","Total","From 20 to 24 years","Total","Number","2 288 322"
"2019","Spain","Total","From 25 to 29 years","Total","Number","2 525 120"
"2019","France","Total","From 15 to 29 years","Total","Number","11 719 270"
"2019","France","Total","From 15 to 19 years","Total","Number","4 156 881"
"2019","France","Total","From 20 to 24 years","Total","Number","3 748 194"
"2019","France","Total","From 25 to 29 years","Total","Number","3 814 195"
"2019","Croatia","Total","From 15 to 29 years","Total","Number","684 437"
"2019","Croatia","Total","From 15 to 19 years","Total","Number","204 449"
"2019","Croatia","Total","From 20 to 24 years","Total","Number","240 575"
"2019","Croatia","Total","From 25 to 29 years","Total","Number","239 413"
"2019","Italy","Total","From 15 to 29 years","Total","Number","9 011 582"
"2019","Italy","Total","From 15 to 19 years","Total","Number","2 873 676"
"2019","Italy","Total","From 20 to 24 years","Total","Number","2 962 307"
"2019","Italy","Total","From 25 to 29 years","Total","Number","3 175 599"
"2019","Cyprus","Total","From 15 to 29 years","Total","Number","186 729"
"2019","Cyprus","Total","From 15 to 19 years","Total","Number","48 856"
"2019","Cyprus","Total","From 20 to 24 years","Total","Number","63 295"
"2019","Cyprus","Total","From 25 to 29 years","Total","Number","74 578"
"2019","Latvia","Total","From 15 to 29 years","Total","Number","299 796"
"2019","Latvia","Total","From 15 to 19 years","Total","Number","88 927"
"2019","Latvia","Total","From 20 to 24 years","Total","Number","87 077"
"2019","Latvia","Total","From 25 to 29 years","Total","Number","123 792"
"2019","Lithuania","Total","From 15 to 29 years","Total","Number","482 141"
"2019","Lithuania","Total","From 15 to 19 years","Total","Number","136 819"
"2019","Lithuania","Total","From 20 to 24 years","Total","Number","157 609"
"2019","Lithuania","Total","From 25 to 29 years","Total","Number","187 713"
"2019","Luxembourg","Total","From 15 to 29 years","Total","Number","117 369"
"2019","Luxembourg","Total","From 15 to 19 years","Total","Number","33 206"
"2019","Luxembourg","Total","From 20 to 24 years","Total","Number","38 038"
"2019","Luxembourg","Total","From 25 to 29 years","Total","Number","46 125"
"2019","Hungary","Total","From 15 to 29 years","Total","Number","1 678 211"
"2019","Hungary","Total","From 15 to 19 years","Total","Number","487 054"
"2019","Hungary","Total","From 20 to 24 years","Total","Number","561 803"
"2019","Hungary","Total","From 25 to 29 years","Total","Number","629 354"
"2019","Malta","Total","From 15 to 29 years","Total","Number","97 888"
"2019","Malta","Total","From 15 to 19 years","Total","Number","22 320"
"2019","Malta","Total","From 20 to 24 years","Total","Number","32 057"
"2019","Malta","Total","From 25 to 29 years","Total","Number","43 511"
"2019","Netherlands","Total","From 15 to 29 years","Total","Number","3 253 807"
"2019","Netherlands","Total","From 15 to 19 years","Total","Number","1 052 019"
"2019","Netherlands","Total","From 20 to 24 years","Total","Number","1 079 925"
"2019","Netherlands","Total","From 25 to 29 years","Total","Number","1 121 863"
"2019","Austria","Total","From 15 to 29 years","Total","Number","1 573 475"
"2019","Austria","Total","From 15 to 19 years","Total","Number","439 004"
"2019","Austria","Total","From 20 to 24 years","Total","Number","530 763"
"2019","Austria","Total","From 25 to 29 years","Total","Number","603 708"
"2019","Poland","Total","From 15 to 29 years","Total","Number","6 501 571"
"2019","Poland","Total","From 15 to 19 years","Total","Number","1 809 745"
"2019","Poland","Total","From 20 to 24 years","Total","Number","2 102 657"
"2019","Poland","Total","From 25 to 29 years","Total","Number","2 589 169"
"2019","Portugal","Total","From 15 to 29 years","Total","Number","1 638 779"
"2019","Portugal","Total","From 15 to 19 years","Total","Number","552 744"
"2019","Portugal","Total","From 20 to 24 years","Total","Number","538 705"
"2019","Portugal","Total","From 25 to 29 years","Total","Number","547 330"
"2019","Romania","Total","From 15 to 29 years","Total","Number","3 179 678"
"2019","Romania","Total","From 15 to 19 years","Total","Number","1 036 435"
"2019","Romania","Total","From 20 to 24 years","Total","Number","1 016 105"
"2019","Romania","Total","From 25 to 29 years","Total","Number","1 127 138"
"2019","Slovenia","Total","From 15 to 29 years","Total","Number","309 475"
"2019","Slovenia","Total","From 15 to 19 years","Total","Number","92 855"
"2019","Slovenia","Total","From 20 to 24 years","Total","Number","101 940"
"2019","Slovenia","Total","From 25 to 29 years","Total","Number","114 680"
"2019","Slovakia","Total","From 15 to 29 years","Total","Number","947 399"
"2019","Slovakia","Total","From 15 to 19 years","Total","Number","264 777"
"2019","Slovakia","Total","From 20 to 24 years","Total","Number","302 237"
"2019","Slovakia","Total","From 25 to 29 years","Total","Number","380 385"
"2019","Finland","Total","From 15 to 29 years","Total","Number","971 415"
"2019","Finland","Total","From 15 to 19 years","Total","Number","296 167"
"2019","Finland","Total","From 20 to 24 years","Total","Number","320 376"
"2019","Finland","Total","From 25 to 29 years","Total","Number","354 872"
"2019","Sweden","Total","From 15 to 29 years","Total","Number","1 898 428"
"2019","Sweden","Total","From 15 to 19 years","Total","Number","559 513"
"2019","Sweden","Total","From 20 to 24 years","Total","Number","597 593"
"2019","Sweden","Total","From 25 to 29 years","Total","Number","741 322"
"2019","Iceland","Total","From 15 to 29 years","Total","Number","77 429"
"2019","Iceland","Total","From 15 to 19 years","Total","Number","21 945"
"2019","Iceland","Total","From 20 to 24 years","Total","Number","25 913"
"2019","Iceland","Total","From 25 to 29 years","Total","Number","29 571"
"2019","Liechtenstein","Total","From 15 to 29 years","Total","Number","6 512"
"2019","Liechtenstein","Total","From 15 to 19 years","Total","Number","1 973"
"2019","Liechtenstein","Total","From 20 to 24 years","Total","Number","2 222"
"2019","Liechtenstein","Total","From 25 to 29 years","Total","Number","2 317"
"2019","Norway","Total","From 15 to 29 years","Total","Number","1 032 918"
"2019","Norway","Total","From 15 to 19 years","Total","Number","320 499"
"2019","Norway","Total","From 20 to 24 years","Total","Number","341 231"
"2019","Norway","Total","From 25 to 29 years","Total","Number","371 188"
"2019","Switzerland","Total","From 15 to 29 years","Total","Number","1 478 445"
"2019","Switzerland","Total","From 15 to 19 years","Total","Number","425 712"
"2019","Switzerland","Total","From 20 to 24 years","Total","Number","483 445"
"2019","Switzerland","Total","From 25 to 29 years","Total","Number","569 288"
"2019","United Kingdom","Total","From 15 to 29 years","Total","Number","12 359 242"
"2019","United Kingdom","Total","From 15 to 19 years","Total","Number","3 661 722"
"2019","United Kingdom","Total","From 20 to 24 years","Total","Number","4 170 514"
"2019","United Kingdom","Total","From 25 to 29 years","Total","Number","4 527 006"
"2019","North Macedonia","Total","From 15 to 29 years","Total","Number",":"
"2019","North Macedonia","Total","From 15 to 19 years","Total","Number",":"
"2019","North Macedonia","Total","From 20 to 24 years","Total","Number",":"
"2019","North Macedonia","Total","From 25 to 29 years","Total","Number",":"
"2019","Albania","Total","From 15 to 29 years","Total","Number",":"
"2019","Albania","Total","From 15 to 19 years","Total","Number",":"
"2019","Albania","Total","From 20 to 24 years","Total","Number",":"
"2019","Albania","Total","From 25 to 29 years","Total","Number",":"
"2019","Serbia","Total","From 15 to 29 years","Total","Number",":"
"2019","Serbia","Total","From 15 to 19 years","Total","Number",":"
"2019","Serbia","Total","From 20 to 24 years","Total","Number",":"
"2019","Serbia","Total","From 25 to 29 years","Total","Number",":"
"2019","Turkey","Total","From 15 to 29 years","Total","Number","19 247 865"
"2019","Turkey","Total","From 15 to 19 years","Total","Number","6 424 267"
"2019","Turkey","Total","From 20 to 24 years","Total","Number","6 547 129"
"2019","Turkey","Total","From 25 to 29 years","Total","Number","6 276 469"
"2019","Andorra","Total","From 15 to 29 years","Total","Number",":"
"2019","Andorra","Total","From 15 to 19 years","Total","Number",":"
"2019","Andorra","Total","From 20 to 24 years","Total","Number",":"
"2019","Andorra","Total","From 25 to 29 years","Total","Number",":"
"2019","Ukraine","Total","From 15 to 29 years","Total","Number",":"
"2019","Ukraine","Total","From 15 to 19 years","Total","Number",":"
"2019","Ukraine","Total","From 20 to 24 years","Total","Number",":"
"2019","Ukraine","Total","From 25 to 29 years","Total","Number",":"
"2019","Montenegro","Total","From 15 to 29 years","Total","Number",":"
"2019","Montenegro","Total","From 15 to 19 years","Total","Number",":"
"2019","Montenegro","Total","From 20 to 24 years","Total","Number",":"
"2019","Montenegro","Total","From 25 to 29 years","Total","Number",":"
"2020","Belgium","Total","From 15 to 29 years","Total","Number","2 053 195"
"2020","Belgium","Total","From 15 to 19 years","Total","Number","636 442"
"2020","Belgium","Total","From 20 to 24 years","Total","Number","672 317"
"2020","Belgium","Total","From 25 to 29 years","Total","Number","744 436"
"2020","Bulgaria","Total","From 15 to 29 years","Total","Number","1 005 227"
"2020","Bulgaria","Total","From 15 to 19 years","Total","Number","312 977"
"2020","Bulgaria","Total","From 20 to 24 years","Total","Number","301 636"
"2020","Bulgaria","Total","From 25 to 29 years","Total","Number","390 614"
"2020","Czechia","Total","From 15 to 29 years","Total","Number","1 612 954"
"2020","Czechia","Total","From 15 to 19 years","Total","Number","478 030"
"2020","Czechia","Total","From 20 to 24 years","Total","Number","483 032"
"2020","Czechia","Total","From 25 to 29 years","Total","Number","651 892"
"2020","Denmark","Total","From 15 to 29 years","Total","Number","1 125 983"
"2020","Denmark","Total","From 15 to 19 years","Total","Number","343 282"
"2020","Denmark","Total","From 20 to 24 years","Total","Number","381 891"
"2020","Denmark","Total","From 25 to 29 years","Total","Number","400 810"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Total","Number","13 622 145"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Total","Number","3 939 243"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 20 to 24 years","Total","Number","4 608 431"
"2020","Germany (until 1990 former territory of the FRG)","Total","From 25 to 29 years","Total","Number","5 074 471"
"2020","Estonia","Total","From 15 to 29 years","Total","Number","207 650"
"2020","Estonia","Total","From 15 to 19 years","Total","Number","62 917"
"2020","Estonia","Total","From 20 to 24 years","Total","Number","63 051"
"2020","Estonia","Total","From 25 to 29 years","Total","Number","81 682"
"2020","Ireland","Total","From 15 to 29 years","Total","Number","919 301"
"2020","Ireland","Total","From 15 to 19 years","Total","Number","323 325"
"2020","Ireland","Total","From 20 to 24 years","Total","Number","305 817"
"2020","Ireland","Total","From 25 to 29 years","Total","Number","290 159"
"2020","Greece","Total","From 15 to 29 years","Total","Number","1 673 987"
"2020","Greece","Total","From 15 to 19 years","Total","Number","549 705"
"2020","Greece","Total","From 20 to 24 years","Total","Number","559 606"
"2020","Greece","Total","From 25 to 29 years","Total","Number","564 676"
"2020","Spain","Total","From 15 to 29 years","Total","Number","7 297 158"
"2020","Spain","Total","From 15 to 19 years","Total","Number","2 399 993"
"2020","Spain","Total","From 20 to 24 years","Total","Number","2 352 185"
"2020","Spain","Total","From 25 to 29 years","Total","Number","2 544 980"
"2020","France","Total","From 15 to 29 years","Total","Number","11 693 634"
"2020","France","Total","From 15 to 19 years","Total","Number","4 173 149"
"2020","France","Total","From 20 to 24 years","Total","Number","3 772 518"
"2020","France","Total","From 25 to 29 years","Total","Number","3 747 967"
"2020","Croatia","Total","From 15 to 29 years","Total","Number","675 419"
"2020","Croatia","Total","From 15 to 19 years","Total","Number","198 576"
"2020","Croatia","Total","From 20 to 24 years","Total","Number","238 386"
"2020","Croatia","Total","From 25 to 29 years","Total","Number","238 457"
"2020","Italy","Total","From 15 to 29 years","Total","Number","8 955 438"
"2020","Italy","Total","From 15 to 19 years","Total","Number","2 871 056"
"2020","Italy","Total","From 20 to 24 years","Total","Number","2 955 888"
"2020","Italy","Total","From 25 to 29 years","Total","Number","3 128 494"
"2020","Cyprus","Total","From 15 to 29 years","Total","Number","188 353"
"2020","Cyprus","Total","From 15 to 19 years","Total","Number","49 531"
"2020","Cyprus","Total","From 20 to 24 years","Total","Number","63 488"
"2020","Cyprus","Total","From 25 to 29 years","Total","Number","75 334"
"2020","Latvia","Total","From 15 to 29 years","Total","Number","289 064"
"2020","Latvia","Total","From 15 to 19 years","Total","Number","89 522"
"2020","Latvia","Total","From 20 to 24 years","Total","Number","83 996"
"2020","Latvia","Total","From 25 to 29 years","Total","Number","115 546"
"2020","Lithuania","Total","From 15 to 29 years","Total","Number","470 662"
"2020","Lithuania","Total","From 15 to 19 years","Total","Number","130 926"
"2020","Lithuania","Total","From 20 to 24 years","Total","Number","154 360"
"2020","Lithuania","Total","From 25 to 29 years","Total","Number","185 376"
"2020","Luxembourg","Total","From 15 to 29 years","Total","Number","119 444"
"2020","Luxembourg","Total","From 15 to 19 years","Total","Number","33 331"
"2020","Luxembourg","Total","From 20 to 24 years","Total","Number","38 540"
"2020","Luxembourg","Total","From 25 to 29 years","Total","Number","47 573"
"2020","Hungary","Total","From 15 to 29 years","Total","Number","1 659 697"
"2020","Hungary","Total","From 15 to 19 years","Total","Number","487 664"
"2020","Hungary","Total","From 20 to 24 years","Total","Number","541 142"
"2020","Hungary","Total","From 25 to 29 years","Total","Number","630 891"
"2020","Malta","Total","From 15 to 29 years","Total","Number","101 124"
"2020","Malta","Total","From 15 to 19 years","Total","Number","22 146"
"2020","Malta","Total","From 20 to 24 years","Total","Number","32 780"
"2020","Malta","Total","From 25 to 29 years","Total","Number","46 198"
"2020","Netherlands","Total","From 15 to 29 years","Total","Number","3 282 708"
"2020","Netherlands","Total","From 15 to 19 years","Total","Number","1 049 158"
"2020","Netherlands","Total","From 20 to 24 years","Total","Number","1 094 585"
"2020","Netherlands","Total","From 25 to 29 years","Total","Number","1 138 965"
"2020","Austria","Total","From 15 to 29 years","Total","Number","1 557 027"
"2020","Austria","Total","From 15 to 19 years","Total","Number","437 855"
"2020","Austria","Total","From 20 to 24 years","Total","Number","517 770"
"2020","Austria","Total","From 25 to 29 years","Total","Number","601 402"
"2020","Poland","Total","From 15 to 29 years","Total","Number","6 313 453"
"2020","Poland","Total","From 15 to 19 years","Total","Number","1 786 579"
"2020","Poland","Total","From 20 to 24 years","Total","Number","2 018 851"
"2020","Poland","Total","From 25 to 29 years","Total","Number","2 508 023"
"2020","Portugal","Total","From 15 to 29 years","Total","Number","1 643 446"
"2020","Portugal","Total","From 15 to 19 years","Total","Number","545 322"
"2020","Portugal","Total","From 20 to 24 years","Total","Number","550 444"
"2020","Portugal","Total","From 25 to 29 years","Total","Number","547 680"
"2020","Romania","Total","From 15 to 29 years","Total","Number","3 082 216"
"2020","Romania","Total","From 15 to 19 years","Total","Number","1 025 575"
"2020","Romania","Total","From 20 to 24 years","Total","Number","1 001 902"
"2020","Romania","Total","From 25 to 29 years","Total","Number","1 054 739"
"2020","Slovenia","Total","From 15 to 29 years","Total","Number","310 694"
"2020","Slovenia","Total","From 15 to 19 years","Total","Number","93 729"
"2020","Slovenia","Total","From 20 to 24 years","Total","Number","103 089"
"2020","Slovenia","Total","From 25 to 29 years","Total","Number","113 876"
"2020","Slovakia","Total","From 15 to 29 years","Total","Number","922 830"
"2020","Slovakia","Total","From 15 to 19 years","Total","Number","262 751"
"2020","Slovakia","Total","From 20 to 24 years","Total","Number","292 244"
"2020","Slovakia","Total","From 25 to 29 years","Total","Number","367 835"
"2020","Finland","Total","From 15 to 29 years","Total","Number","966 300"
"2020","Finland","Total","From 15 to 19 years","Total","Number","296 671"
"2020","Finland","Total","From 20 to 24 years","Total","Number","313 944"
"2020","Finland","Total","From 25 to 29 years","Total","Number","355 685"
"2020","Sweden","Total","From 15 to 29 years","Total","Number","1 896 304"
"2020","Sweden","Total","From 15 to 19 years","Total","Number","568 909"
"2020","Sweden","Total","From 20 to 24 years","Total","Number","587 699"
"2020","Sweden","Total","From 25 to 29 years","Total","Number","739 696"
"2020","Iceland","Total","From 15 to 29 years","Total","Number","78 580"
"2020","Iceland","Total","From 15 to 19 years","Total","Number","22 243"
"2020","Iceland","Total","From 20 to 24 years","Total","Number","25 770"
"2020","Iceland","Total","From 25 to 29 years","Total","Number","30 567"
"2020","Liechtenstein","Total","From 15 to 29 years","Total","Number","6 485"
"2020","Liechtenstein","Total","From 15 to 19 years","Total","Number","1 976"
"2020","Liechtenstein","Total","From 20 to 24 years","Total","Number","2 211"
"2020","Liechtenstein","Total","From 25 to 29 years","Total","Number","2 298"
"2020","Norway","Total","From 15 to 29 years","Total","Number","1 030 374"
"2020","Norway","Total","From 15 to 19 years","Total","Number","318 622"
"2020","Norway","Total","From 20 to 24 years","Total","Number","340 829"
"2020","Norway","Total","From 25 to 29 years","Total","Number","370 923"
"2020","Switzerland","Total","From 15 to 29 years","Total","Number","1 467 630"
"2020","Switzerland","Total","From 15 to 19 years","Total","Number","422 280"
"2020","Switzerland","Total","From 20 to 24 years","Total","Number","479 503"
"2020","Switzerland","Total","From 25 to 29 years","Total","Number","565 847"
"2020","United Kingdom","Total","From 15 to 29 years","Total","Number",":"
"2020","United Kingdom","Total","From 15 to 19 years","Total","Number",":"
"2020","United Kingdom","Total","From 20 to 24 years","Total","Number",":"
"2020","United Kingdom","Total","From 25 to 29 years","Total","Number",":"
"2020","North Macedonia","Total","From 15 to 29 years","Total","Number",":"
"2020","North Macedonia","Total","From 15 to 19 years","Total","Number",":"
"2020","North Macedonia","Total","From 20 to 24 years","Total","Number",":"
"2020","North Macedonia","Total","From 25 to 29 years","Total","Number",":"
"2020","Albania","Total","From 15 to 29 years","Total","Number",":"
"2020","Albania","Total","From 15 to 19 years","Total","Number",":"
"2020","Albania","Total","From 20 to 24 years","Total","Number",":"
"2020","Albania","Total","From 25 to 29 years","Total","Number",":"
"2020","Serbia","Total","From 15 to 29 years","Total","Number",":"
"2020","Serbia","Total","From 15 to 19 years","Total","Number",":"
"2020","Serbia","Total","From 20 to 24 years","Total","Number",":"
"2020","Serbia","Total","From 25 to 29 years","Total","Number",":"
"2020","Turkey","Total","From 15 to 29 years","Total","Number","19 322 983"
"2020","Turkey","Total","From 15 to 19 years","Total","Number","6 331 594"
"2020","Turkey","Total","From 20 to 24 years","Total","Number","6 624 078"
"2020","Turkey","Total","From 25 to 29 years","Total","Number","6 367 311"
"2020","Andorra","Total","From 15 to 29 years","Total","Number",":"
"2020","Andorra","Total","From 15 to 19 years","Total","Number",":"
"2020","Andorra","Total","From 20 to 24 years","Total","Number",":"
"2020","Andorra","Total","From 25 to 29 years","Total","Number",":"
"2020","Ukraine","Total","From 15 to 29 years","Total","Number",":"
"2020","Ukraine","Total","From 15 to 19 years","Total","Number",":"
"2020","Ukraine","Total","From 20 to 24 years","Total","Number",":"
"2020","Ukraine","Total","From 25 to 29 years","Total","Number",":"
"2020","Montenegro","Total","From 15 to 29 years","Total","Number",":"
"2020","Montenegro","Total","From 15 to 19 years","Total","Number",":"
"2020","Montenegro","Total","From 20 to 24 years","Total","Number",":"
"2020","Montenegro","Total","From 25 to 29 years","Total","Number",":"
"2021","Belgium","Total","From 15 to 29 years","Total","Number","2 054 632"
"2021","Belgium","Total","From 15 to 19 years","Total","Number","640 925"
"2021","Belgium","Total","From 20 to 24 years","Total","Number","675 228"
"2021","Belgium","Total","From 25 to 29 years","Total","Number","738 479"
"2021","Bulgaria","Total","From 15 to 29 years","Total","Number","985 044"
"2021","Bulgaria","Total","From 15 to 19 years","Total","Number","314 238"
"2021","Bulgaria","Total","From 20 to 24 years","Total","Number","306 421"
"2021","Bulgaria","Total","From 25 to 29 years","Total","Number","364 385"
"2021","Czechia","Total","From 15 to 29 years","Total","Number","1 589 285"
"2021","Czechia","Total","From 15 to 19 years","Total","Number","490 450"
"2021","Czechia","Total","From 20 to 24 years","Total","Number","477 910"
"2021","Czechia","Total","From 25 to 29 years","Total","Number","620 925"
"2021","Denmark","Total","From 15 to 29 years","Total","Number","1 120 206"
"2021","Denmark","Total","From 15 to 19 years","Total","Number","341 466"
"2021","Denmark","Total","From 20 to 24 years","Total","Number","375 904"
"2021","Denmark","Total","From 25 to 29 years","Total","Number","402 836"
"2021","Germany (until 1990 former territory of the FRG)","Total","From 15 to 29 years","Total","Number","13 340 204"
"2021","Germany (until 1990 former territory of the FRG)","Total","From 15 to 19 years","Total","Number","3 856 774"
"2021","Germany (until 1990 former territory of the FRG)","Total","From 20 to 24 years","Total","Number","4 570 491"
"2021","Germany (until 1990 former territory of the FRG)","Total","From 25 to 29 years","Total","Number","4 912 939"
"2021","Estonia","Total","From 15 to 29 years","Total","Number","202 520"
"2021","Estonia","Total","From 15 to 19 years","Total","Number","64 309"
"2021","Estonia","Total","From 20 to 24 years","Total","Number","62 518"
"2021","Estonia","Total","From 25 to 29 years","Total","Number","75 693"
"2021","Ireland","Total","From 15 to 29 years","Total","Number","923 451"
"2021","Ireland","Total","From 15 to 19 years","Total","Number","323 171"
"2021","Ireland","Total","From 20 to 24 years","Total","Number","308 234"
"2021","Ireland","Total","From 25 to 29 years","Total","Number","292 046"
"2021","Greece","Total","From 15 to 29 years","Total","Number","1 669 223"
"2021","Greece","Total","From 15 to 19 years","Total","Number","548 300"
"2021","Greece","Total","From 20 to 24 years","Total","Number","563 050"
"2021","Greece","Total","From 25 to 29 years","Total","Number","557 873"
"2021","Spain","Total","From 15 to 29 years","Total","Number","7 362 914"
"2021","Spain","Total","From 15 to 19 years","Total","Number","2 438 311"
"2021","Spain","Total","From 20 to 24 years","Total","Number","2 392 743"
"2021","Spain","Total","From 25 to 29 years","Total","Number","2 531 860"
"2021","France","Total","From 15 to 29 years","Total","Number","11 803 158"
"2021","France","Total","From 15 to 19 years","Total","Number","4 194 211"
"2021","France","Total","From 20 to 24 years","Total","Number","3 892 817"
"2021","France","Total","From 25 to 29 years","Total","Number","3 716 130"
"2021","Croatia","Total","From 15 to 29 years","Total","Number","666 989"
"2021","Croatia","Total","From 15 to 19 years","Total","Number","195 840"
"2021","Croatia","Total","From 20 to 24 years","Total","Number","233 001"
"2021","Croatia","Total","From 25 to 29 years","Total","Number","238 148"
"2021","Italy","Total","From 15 to 29 years","Total","Number","8 859 932"
"2021","Italy","Total","From 15 to 19 years","Total","Number","2 857 013"
"2021","Italy","Total","From 20 to 24 years","Total","Number","2 957 340"
"2021","Italy","Total","From 25 to 29 years","Total","Number","3 045 579"
"2021","Cyprus","Total","From 15 to 29 years","Total","Number","185 396"
"2021","Cyprus","Total","From 15 to 19 years","Total","Number","48 183"
