"TIME","GEO","UNIT","ISCED11","ISCEDF13","SEX","Value"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Total","Total","40,139"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Education","Total","934"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","3,835"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","4,772"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","10,394"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","2,911"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Environment","Total","81"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Physical sciences","Total","1,319"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Mathematics and statistics","Total","526"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Information and Communication Technologies","Total","3,683"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Engineering, manufacturing and construction","Total","4,759"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Engineering and engineering trades","Total","2,529"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Manufacturing and processing","Total","455"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Architecture and construction","Total","1,535"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Agriculture, forestry, fisheries and veterinary","Total","1,020"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Health and welfare","Total","6,653"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Health","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Dental studies","Total","646"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Medicine, therapy and rehabilitation","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Welfare","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Care of the elderly and of disabled adults","Total",":"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Child care and youth services","Total","14"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Social work and counselling","Total","106"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Services","Total","1,178"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Domestic services","Total","0"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Hair and beauty services","Total","0"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Hotel, restaurants and catering","Total","558"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Sports","Total","179"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Travel, tourism and leisure","Total","55"
"2013","Czechia","Number","Tertiary education (levels 5-8)","Transport services","Total","307"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Total","Total","29,480"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Education","Total","909"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Arts and humanities","Total","3,010"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Social sciences, journalism and information","Total","2,512"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Business, administration and law","Total","9,494"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Natural sciences, mathematics and statistics","Total","1,339"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Biology","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Biochemistry","Total",":"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Environment","Total","0"
"2013","Denmark","Number","Tertiary education (levels 5-8)","Physical sciences","Total","299"
