DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2016,34620,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2017,35050,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2018,35530,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2019,36080,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2020,33870,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Belgium,2021,35850,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2000,2990,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2001,3210,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2002,3420,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2003,3620,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2004,3870,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2005,4170,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2006,4480,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2007,4800,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2008,5110,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2009,4970,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2010,5080,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2011,5320,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2012,5390,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2013,5390,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2014,5470,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2015,5700,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2016,5910,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2017,6120,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2018,6330,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2019,6630,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2020,6380,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Bulgaria,2021,6690,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2000,52080,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2001,52640,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2002,52260,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2003,51860,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2004,52970,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2005,54180,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2006,56000,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2007,57720,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2008,58620,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2009,56750,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2010,58170,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2011,58730,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2012,58820,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2013,59200,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2014,59920,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2015,60220,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2016,60780,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2017,61170,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2018,62500,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2019,62800,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2020,60850,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Switzerland,2021,62600,p
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2000,20130,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2001,20700,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2002,21230,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2003,21520,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2004,22300,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2005,23050,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2006,23740,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2007,24420,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2008,24680,
ESTAT:SDG_08_10(1.0),20/04/22 11:00:00,Annual,Chain linked volumes (2010), euro per capita,Gross domestic product at market prices,Cyprus,2009,23550,
