TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Slovakia,Business economy,1194
2018,Total,Slovakia,Industry and construction,1186
2018,Total,Slovakia,Industry (except construction),1200
2018,Total,Slovakia,Mining and quarrying,1180
2018,Total,Slovakia,Manufacturing,1195
2018,Total,Slovakia,Electricity gas steam and air conditioning supply,1632
2018,Total,Slovakia,Water supply; sewerage waste management and remediation activities,1003
2018,Total,Slovakia,Construction,1090
2018,Total,Slovakia,Services (except activities of households as employers and extra-territorial organisations and bodies),1149
2018,Total,Slovakia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1152
2018,Total,Slovakia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1159
2018,Total,Slovakia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1127
2018,Total,Slovakia,Transportation and storage,1039
2018,Total,Slovakia,Accommodation and food service activities,780
2018,Total,Slovakia,Information and communication,1932
2018,Total,Slovakia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1286
2018,Total,Slovakia,Financial and insurance activities,1774
2018,Total,Slovakia,Real estate activities,1104
2018,Total,Slovakia,Professional scientific and technical activities,1529
2018,Total,Slovakia,Administrative and support service activities,900
2018,Total,Slovakia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1084
2018,Total,Slovakia,Public administration and defence; compulsory social security,1131
2018,Total,Slovakia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1062
2018,Total,Slovakia,Education,1019
2018,Total,Slovakia,Human health and social work activities,1159
2018,Total,Slovakia,Arts entertainment and recreation,1010
2018,Total,Slovakia,Other service activities,829
2018,Total,Finland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3379
2018,Total,Finland,Industry construction and services (except public administration defense compulsory social security),3360
2018,Total,Finland,Business economy,3464
2018,Total,Finland,Industry and construction,3663
2018,Total,Finland,Industry (except construction),3726
2018,Total,Finland,Mining and quarrying,4049
2018,Total,Finland,Manufacturing,3701
2018,Total,Finland,Electricity gas steam and air conditioning supply,4528
2018,Total,Finland,Water supply; sewerage waste management and remediation activities,3359
2018,Total,Finland,Construction,3497
2018,Total,Finland,Services (except activities of households as employers and extra-territorial organisations and bodies),3300
2018,Total,Finland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3266
2018,Total,Finland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3308
2018,Total,Finland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3124
2018,Total,Finland,Transportation and storage,3335
2018,Total,Finland,Accommodation and food service activities,2449
2018,Total,Finland,Information and communication,4420
2018,Total,Finland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3426
2018,Total,Finland,Financial and insurance activities,4321
2018,Total,Finland,Real estate activities,3506
2018,Total,Finland,Professional scientific and technical activities,3970
2018,Total,Finland,Administrative and support service activities,2593
2018,Total,Finland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3249
2018,Total,Finland,Public administration and defence; compulsory social security,3649
2018,Total,Finland,Education; human health and social work activities; arts entertainment and recreation; other service activities,3165
2018,Total,Finland,Education,3528
2018,Total,Finland,Human health and social work activities,3041
2018,Total,Finland,Arts entertainment and recreation,2943
2018,Total,Finland,Other service activities,3040
2018,Total,Sweden,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3496
2018,Total,Sweden,Industry construction and services (except public administration defense compulsory social security),3488
2018,Total,Sweden,Business economy,3686
2018,Total,Sweden,Industry and construction,3790
2018,Total,Sweden,Industry (except construction),3813
2018,Total,Sweden,Mining and quarrying,4116
2018,Total,Sweden,Manufacturing,3790
2018,Total,Sweden,Electricity gas steam and air conditioning supply,4321
2018,Total,Sweden,Water supply; sewerage waste management and remediation activities,3538
2018,Total,Sweden,Construction,3736
2018,Total,Sweden,Services (except activities of households as employers and extra-territorial organisations and bodies),3426
2018,Total,Sweden,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3412
2018,Total,Sweden,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3509
2018,Total,Sweden,Wholesale and retail trade; repair of motor vehicles and motorcycles,3451
2018,Total,Sweden,Transportation and storage,3299
2018,Total,Sweden,Accommodation and food service activities,2692
2018,Total,Sweden,Information and communication,4514
2018,Total,Sweden,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3834
2018,Total,Sweden,Financial and insurance activities,5054
2018,Total,Sweden,Real estate activities,3730
2018,Total,Sweden,Professional scientific and technical activities,4343
2018,Total,Sweden,Administrative and support service activities,3063
2018,Total,Sweden,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3248
2018,Total,Sweden,Public administration and defence; compulsory social security,3723
2018,Total,Sweden,Education; human health and social work activities; arts entertainment and recreation; other service activities,3205
2018,Total,Sweden,Education,3211
2018,Total,Sweden,Human health and social work activities,3198
2018,Total,Sweden,Arts entertainment and recreation,3055
2018,Total,Sweden,Other service activities,3379
2018,Total,Iceland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4922
2018,Total,Iceland,Industry construction and services (except public administration defense compulsory social security),4854
2018,Total,Iceland,Business economy,4938
2018,Total,Iceland,Industry and construction,5302
2018,Total,Iceland,Industry (except construction),5220
2018,Total,Iceland,Mining and quarrying,0
2018,Total,Iceland,Manufacturing,5100
2018,Total,Iceland,Electricity gas steam and air conditioning supply,6889
2018,Total,Iceland,Water supply; sewerage waste management and remediation activities,4716
2018,Total,Iceland,Construction,5564
2018,Total,Iceland,Services (except activities of households as employers and extra-territorial organisations and bodies),4833
2018,Total,Iceland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4740
2018,Total,Iceland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4525
2018,Total,Iceland,Wholesale and retail trade; repair of motor vehicles and motorcycles,4892
2018,Total,Iceland,Transportation and storage,4975
2018,Total,Iceland,Accommodation and food service activities,3519
2018,Total,Iceland,Information and communication,5500
2018,Total,Iceland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,7395
2018,Total,Iceland,Financial and insurance activities,7395
2018,Total,Iceland,Real estate activities,0
2018,Total,Iceland,Professional scientific and technical activities,0
2018,Total,Iceland,Administrative and support service activities,0
2018,Total,Iceland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4898
2018,Total,Iceland,Public administration and defence; compulsory social security,5863
2018,Total,Iceland,Education; human health and social work activities; arts entertainment and recreation; other service activities,4693
2018,Total,Iceland,Education,4266
2018,Total,Iceland,Human health and social work activities,5097
2018,Total,Iceland,Arts entertainment and recreation,0
2018,Total,Iceland,Other service activities,0
2018,Total,Norway,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4772
2018,Total,Norway,Industry construction and services (except public administration defense compulsory social security),4743
2018,Total,Norway,Business economy,4919
2018,Total,Norway,Industry and construction,5306
2018,Total,Norway,Industry (except construction),5713
2018,Total,Norway,Mining and quarrying,8094
2018,Total,Norway,Manufacturing,5080
2018,Total,Norway,Electricity gas steam and air conditioning supply,6390
2018,Total,Norway,Water supply; sewerage waste management and remediation activities,4649
2018,Total,Norway,Construction,4671
2018,Total,Norway,Services (except activities of households as employers and extra-territorial organisations and bodies),4635
2018,Total,Norway,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4584
2018,Total,Norway,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4443
2018,Total,Norway,Wholesale and retail trade; repair of motor vehicles and motorcycles,4132
2018,Total,Norway,Transportation and storage,4892
2018,Total,Norway,Accommodation and food service activities,3175
2018,Total,Norway,Information and communication,6340
2018,Total,Norway,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5229
2018,Total,Norway,Financial and insurance activities,6875
2018,Total,Norway,Real estate activities,5760
2018,Total,Norway,Professional scientific and technical activities,6035
2018,Total,Norway,Administrative and support service activities,4041
2018,Total,Norway,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4568
2018,Total,Norway,Public administration and defence; compulsory social security,5161
2018,Total,Norway,Education; human health and social work activities; arts entertainment and recreation; other service activities,4450
2018,Total,Norway,Education,4629
2018,Total,Norway,Human health and social work activities,4418
2018,Total,Norway,Arts entertainment and recreation,3920
2018,Total,Norway,Other service activities,4479
2018,Total,Switzerland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),6622
2018,Total,Switzerland,Industry construction and services (except public administration defense compulsory social security),6620
2018,Total,Switzerland,Business economy,6633
2018,Total,Switzerland,Industry and construction,6361
2018,Total,Switzerland,Industry (except construction),6464
2018,Total,Switzerland,Mining and quarrying,6237
2018,Total,Switzerland,Manufacturing,6414
2018,Total,Switzerland,Electricity gas steam and air conditioning supply,7653
2018,Total,Switzerland,Water supply; sewerage waste management and remediation activities,6306
2018,Total,Switzerland,Construction,6091
2018,Total,Switzerland,Services (except activities of households as employers and extra-territorial organisations and bodies),6715
2018,Total,Switzerland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),6712
2018,Total,Switzerland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,6143
2018,Total,Switzerland,Wholesale and retail trade; repair of motor vehicles and motorcycles,6090
2018,Total,Switzerland,Transportation and storage,5992
2018,Total,Switzerland,Accommodation and food service activities,4461
2018,Total,Switzerland,Information and communication,8565
2018,Total,Switzerland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,7632
2018,Total,Switzerland,Financial and insurance activities,9544
2018,Total,Switzerland,Real estate activities,6787
2018,Total,Switzerland,Professional scientific and technical activities,8432
2018,Total,Switzerland,Administrative and support service activities,5388
2018,Total,Switzerland,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,6587
2018,Total,Switzerland,Public administration and defence; compulsory social security,7976
2018,Total,Switzerland,Education; human health and social work activities; arts entertainment and recreation; other service activities,6578
2018,Total,Switzerland,Education,7752
2018,Total,Switzerland,Human health and social work activities,6328
2018,Total,Switzerland,Arts entertainment and recreation,6322
2018,Total,Switzerland,Other service activities,6695
2018,Total,United Kingdom,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3266
2018,Total,United Kingdom,Industry construction and services (except public administration defense compulsory social security),3258
2018,Total,United Kingdom,Business economy,3334
2018,Total,United Kingdom,Industry and construction,3503
2018,Total,United Kingdom,Industry (except construction),3431
2018,Total,United Kingdom,Mining and quarrying,5002
2018,Total,United Kingdom,Manufacturing,3350
2018,Total,United Kingdom,Electricity gas steam and air conditioning supply,4140
2018,Total,United Kingdom,Water supply; sewerage waste management and remediation activities,3445
2018,Total,United Kingdom,Construction,3745
2018,Total,United Kingdom,Services (except activities of households as employers and extra-territorial organisations and bodies),3227
2018,Total,United Kingdom,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3215
2018,Total,United Kingdom,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2868
2018,Total,United Kingdom,Wholesale and retail trade; repair of motor vehicles and motorcycles,2672
2018,Total,United Kingdom,Transportation and storage,3327
2018,Total,United Kingdom,Accommodation and food service activities,1999
2018,Total,United Kingdom,Information and communication,4334
2018,Total,United Kingdom,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3897
2018,Total,United Kingdom,Financial and insurance activities,5063
2018,Total,United Kingdom,Real estate activities,3258
2018,Total,United Kingdom,Professional scientific and technical activities,4459
2018,Total,United Kingdom,Administrative and support service activities,2813
2018,Total,United Kingdom,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3164
2018,Total,United Kingdom,Public administration and defence; compulsory social security,3397
2018,Total,United Kingdom,Education; human health and social work activities; arts entertainment and recreation; other service activities,3128
2018,Total,United Kingdom,Education,3191
2018,Total,United Kingdom,Human health and social work activities,3120
2018,Total,United Kingdom,Arts entertainment and recreation,2838
2018,Total,United Kingdom,Other service activities,2983
2018,Total,North Macedonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),600
2018,Total,North Macedonia,Industry construction and services (except public administration defense compulsory social security),586
2018,Total,North Macedonia,Business economy,584
2018,Total,North Macedonia,Industry and construction,533
2018,Total,North Macedonia,Industry (except construction),529
2018,Total,North Macedonia,Mining and quarrying,838
2018,Total,North Macedonia,Manufacturing,490
2018,Total,North Macedonia,Electricity gas steam and air conditioning supply,942
2018,Total,North Macedonia,Water supply; sewerage waste management and remediation activities,502
2018,Total,North Macedonia,Construction,561
2018,Total,North Macedonia,Services (except activities of households as employers and extra-territorial organisations and bodies),638
2018,Total,North Macedonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),624
2018,Total,North Macedonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,645
2018,Total,North Macedonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,610
2018,Total,North Macedonia,Transportation and storage,626
2018,Total,North Macedonia,Accommodation and food service activities,436
2018,Total,North Macedonia,Information and communication,1088
2018,Total,North Macedonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,623
2018,Total,North Macedonia,Financial and insurance activities,994
2018,Total,North Macedonia,Real estate activities,486
2018,Total,North Macedonia,Professional scientific and technical activities,719
2018,Total,North Macedonia,Administrative and support service activities,450
2018,Total,North Macedonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,637
2018,Total,North Macedonia,Public administration and defence; compulsory social security,702
2018,Total,North Macedonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,597
2018,Total,North Macedonia,Education,579
2018,Total,North Macedonia,Human health and social work activities,626
2018,Total,North Macedonia,Arts entertainment and recreation,545
2018,Total,North Macedonia,Other service activities,779
2018,Total,Albania,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Albania,Industry construction and services (except public administration defense compulsory social security),398
2018,Total,Albania,Business economy,378
2018,Total,Albania,Industry and construction,345
2018,Total,Albania,Industry (except construction),342
2018,Total,Albania,Mining and quarrying,642
2018,Total,Albania,Manufacturing,275
2018,Total,Albania,Electricity gas steam and air conditioning supply,610
2018,Total,Albania,Water supply; sewerage waste management and remediation activities,329
2018,Total,Albania,Construction,355
2018,Total,Albania,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Albania,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),433
2018,Total,Albania,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,351
2018,Total,Albania,Wholesale and retail trade; repair of motor vehicles and motorcycles,316
2018,Total,Albania,Transportation and storage,416
2018,Total,Albania,Accommodation and food service activities,262
2018,Total,Albania,Information and communication,590
2018,Total,Albania,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,523
2018,Total,Albania,Financial and insurance activities,802
2018,Total,Albania,Real estate activities,395
2018,Total,Albania,Professional scientific and technical activities,504
2018,Total,Albania,Administrative and support service activities,447
2018,Total,Albania,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Total,Albania,Public administration and defence; compulsory social security,0
2018,Total,Albania,Education; human health and social work activities; arts entertainment and recreation; other service activities,465
2018,Total,Albania,Education,485
2018,Total,Albania,Human health and social work activities,442
2018,Total,Albania,Arts entertainment and recreation,428
2018,Total,Albania,Other service activities,449
2018,Total,Serbia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),631
2018,Total,Serbia,Industry construction and services (except public administration defense compulsory social security),626
2018,Total,Serbia,Business economy,630
2018,Total,Serbia,Industry and construction,617
2018,Total,Serbia,Industry (except construction),630
2018,Total,Serbia,Mining and quarrying,826
2018,Total,Serbia,Manufacturing,586
2018,Total,Serbia,Electricity gas steam and air conditioning supply,1099
2018,Total,Serbia,Water supply; sewerage waste management and remediation activities,515
2018,Total,Serbia,Construction,517
2018,Total,Serbia,Services (except activities of households as employers and extra-territorial organisations and bodies),639
2018,Total,Serbia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),632
2018,Total,Serbia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,594
2018,Total,Serbia,Wholesale and retail trade; repair of motor vehicles and motorcycles,527
2018,Total,Serbia,Transportation and storage,603
2018,Total,Serbia,Accommodation and food service activities,467
2018,Total,Serbia,Information and communication,934
2018,Total,Serbia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,736
2018,Total,Serbia,Financial and insurance activities,1083
2018,Total,Serbia,Real estate activities,690
2018,Total,Serbia,Professional scientific and technical activities,893
2018,Total,Serbia,Administrative and support service activities,500
2018,Total,Serbia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,634
2018,Total,Serbia,Public administration and defence; compulsory social security,719
2018,Total,Serbia,Education; human health and social work activities; arts entertainment and recreation; other service activities,615
2018,Total,Serbia,Education,617
2018,Total,Serbia,Human health and social work activities,627
2018,Total,Serbia,Arts entertainment and recreation,526
2018,Total,Serbia,Other service activities,653
2018,Total,Turkey,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Turkey,Industry construction and services (except public administration defense compulsory social security),768
2018,Total,Turkey,Business economy,702
2018,Total,Turkey,Industry and construction,676
2018,Total,Turkey,Industry (except construction),684
2018,Total,Turkey,Mining and quarrying,841
2018,Total,Turkey,Manufacturing,666
2018,Total,Turkey,Electricity gas steam and air conditioning supply,866
2018,Total,Turkey,Water supply; sewerage waste management and remediation activities,795
2018,Total,Turkey,Construction,631
2018,Total,Turkey,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Total,Turkey,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),839
2018,Total,Turkey,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,691
2018,Total,Turkey,Wholesale and retail trade; repair of motor vehicles and motorcycles,657
2018,Total,Turkey,Transportation and storage,777
2018,Total,Turkey,Accommodation and food service activities,546
2018,Total,Turkey,Information and communication,1367
2018,Total,Turkey,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,856
2018,Total,Turkey,Financial and insurance activities,1153
2018,Total,Turkey,Real estate activities,706
2018,Total,Turkey,Professional scientific and technical activities,1123
2018,Total,Turkey,Administrative and support service activities,593
2018,Total,Turkey,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Total,Turkey,Public administration and defence; compulsory social security,0
2018,Total,Turkey,Education; human health and social work activities; arts entertainment and recreation; other service activities,1052
2018,Total,Turkey,Education,1077
2018,Total,Turkey,Human health and social work activities,1031
2018,Total,Turkey,Arts entertainment and recreation,922
2018,Total,Turkey,Other service activities,835
2018,Males,Belgium,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Belgium,Industry construction and services (except public administration defense compulsory social security),3529
2018,Males,Belgium,Business economy,3642
2018,Males,Belgium,Industry and construction,3814
2018,Males,Belgium,Industry (except construction),3992
2018,Males,Belgium,Mining and quarrying,3209
2018,Males,Belgium,Manufacturing,3926
2018,Males,Belgium,Electricity gas steam and air conditioning supply,5337
2018,Males,Belgium,Water supply; sewerage waste management and remediation activities,4216
2018,Males,Belgium,Construction,3337
2018,Males,Belgium,Services (except activities of households as employers and extra-territorial organisations and bodies),0
2018,Males,Belgium,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3432
2018,Males,Belgium,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3413
2018,Males,Belgium,Wholesale and retail trade; repair of motor vehicles and motorcycles,3428
2018,Males,Belgium,Transportation and storage,3194
2018,Males,Belgium,Accommodation and food service activities,2662
2018,Males,Belgium,Information and communication,4643
2018,Males,Belgium,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3817
2018,Males,Belgium,Financial and insurance activities,4665
2018,Males,Belgium,Real estate activities,3844
2018,Males,Belgium,Professional scientific and technical activities,4677
2018,Males,Belgium,Administrative and support service activities,2971
2018,Males,Belgium,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,0
2018,Males,Belgium,Public administration and defence; compulsory social security,0
2018,Males,Belgium,Education; human health and social work activities; arts entertainment and recreation; other service activities,3195
2018,Males,Belgium,Education,3788
2018,Males,Belgium,Human health and social work activities,3023
2018,Males,Belgium,Arts entertainment and recreation,2852
2018,Males,Belgium,Other service activities,3128
2018,Males,Bulgaria,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),653
2018,Males,Bulgaria,Industry construction and services (except public administration defense compulsory social security),653
2018,Males,Bulgaria,Business economy,653
2018,Males,Bulgaria,Industry and construction,596
2018,Males,Bulgaria,Industry (except construction),630
2018,Males,Bulgaria,Mining and quarrying,868
2018,Males,Bulgaria,Manufacturing,590
2018,Males,Bulgaria,Electricity gas steam and air conditioning supply,1052
2018,Males,Bulgaria,Water supply; sewerage waste management and remediation activities,477
2018,Males,Bulgaria,Construction,492
2018,Males,Bulgaria,Services (except activities of households as employers and extra-territorial organisations and bodies),695
2018,Males,Bulgaria,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),699
2018,Males,Bulgaria,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,747
2018,Males,Bulgaria,Wholesale and retail trade; repair of motor vehicles and motorcycles,626
2018,Males,Bulgaria,Transportation and storage,611
2018,Males,Bulgaria,Accommodation and food service activities,408
2018,Males,Bulgaria,Information and communication,1522
2018,Males,Bulgaria,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,605
2018,Males,Bulgaria,Financial and insurance activities,1077
2018,Males,Bulgaria,Real estate activities,518
2018,Males,Bulgaria,Professional scientific and technical activities,993
2018,Males,Bulgaria,Administrative and support service activities,415
2018,Males,Bulgaria,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,652
2018,Males,Bulgaria,Public administration and defence; compulsory social security,641
2018,Males,Bulgaria,Education; human health and social work activities; arts entertainment and recreation; other service activities,657
2018,Males,Bulgaria,Education,638
2018,Males,Bulgaria,Human health and social work activities,771
2018,Males,Bulgaria,Arts entertainment and recreation,586
2018,Males,Bulgaria,Other service activities,445
2018,Males,Czechia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1363
2018,Males,Czechia,Industry construction and services (except public administration defense compulsory social security),1355
2018,Males,Czechia,Business economy,1350
2018,Males,Czechia,Industry and construction,1317
2018,Males,Czechia,Industry (except construction),1332
2018,Males,Czechia,Mining and quarrying,1357
2018,Males,Czechia,Manufacturing,1332
2018,Males,Czechia,Electricity gas steam and air conditioning supply,1695
2018,Males,Czechia,Water supply; sewerage waste management and remediation activities,1093
2018,Males,Czechia,Construction,1220
2018,Males,Czechia,Services (except activities of households as employers and extra-territorial organisations and bodies),1405
2018,Males,Czechia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1394
2018,Males,Czechia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1412
2018,Males,Czechia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1363
2018,Males,Czechia,Transportation and storage,1197
2018,Males,Czechia,Accommodation and food service activities,862
2018,Males,Czechia,Information and communication,2279
2018,Males,Czechia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1347
2018,Males,Czechia,Financial and insurance activities,2400
2018,Males,Czechia,Real estate activities,1212
2018,Males,Czechia,Professional scientific and technical activities,1884
2018,Males,Czechia,Administrative and support service activities,855
2018,Males,Czechia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1443
2018,Males,Czechia,Public administration and defence; compulsory social security,1483
2018,Males,Czechia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1409
2018,Males,Czechia,Education,1391
2018,Males,Czechia,Human health and social work activities,1612
2018,Males,Czechia,Arts entertainment and recreation,1164
2018,Males,Czechia,Other service activities,1096
2018,Males,Denmark,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4936
2018,Males,Denmark,Industry construction and services (except public administration defense compulsory social security),4924
2018,Males,Denmark,Business economy,5009
2018,Males,Denmark,Industry and construction,5224
2018,Males,Denmark,Industry (except construction),5459
2018,Males,Denmark,Mining and quarrying,7960
2018,Males,Denmark,Manufacturing,5363
2018,Males,Denmark,Electricity gas steam and air conditioning supply,6792
2018,Males,Denmark,Water supply; sewerage waste management and remediation activities,4908
2018,Males,Denmark,Construction,4768
2018,Males,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4841
2018,Males,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4817
2018,Males,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4687
2018,Males,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,4246
2018,Males,Denmark,Transportation and storage,5330
2018,Males,Denmark,Accommodation and food service activities,3314
2018,Males,Denmark,Information and communication,6339
2018,Males,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,5253
2018,Males,Denmark,Financial and insurance activities,7063
2018,Males,Denmark,Real estate activities,4786
2018,Males,Denmark,Professional scientific and technical activities,6476
2018,Males,Denmark,Administrative and support service activities,4001
2018,Males,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4716
2018,Males,Denmark,Public administration and defence; compulsory social security,5141
2018,Males,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,4593
2018,Males,Denmark,Education,4808
2018,Males,Denmark,Human health and social work activities,4427
2018,Males,Denmark,Arts entertainment and recreation,3981
2018,Males,Denmark,Other service activities,5464
2018,Males,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3702
2018,Males,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),3697
2018,Males,Germany (until 1990 former territory of the FRG),Business economy,3661
2018,Males,Germany (until 1990 former territory of the FRG),Industry and construction,3927
2018,Males,Germany (until 1990 former territory of the FRG),Industry (except construction),4109
2018,Males,Germany (until 1990 former territory of the FRG),Mining and quarrying,4082
2018,Males,Germany (until 1990 former territory of the FRG),Manufacturing,4104
2018,Males,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,5197
2018,Males,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,3335
2018,Males,Germany (until 1990 former territory of the FRG),Construction,3030
2018,Males,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),3567
2018,Males,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3541
2018,Males,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3259
2018,Males,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,3274
2018,Males,Germany (until 1990 former territory of the FRG),Transportation and storage,2822
2018,Males,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,2074
2018,Males,Germany (until 1990 former territory of the FRG),Information and communication,5033
2018,Males,Germany (until 1990 former territory of the FRG),Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,3714
2018,Males,Germany (until 1990 former territory of the FRG),Financial and insurance activities,5427
2018,Males,Germany (until 1990 former territory of the FRG),Real estate activities,3834
2018,Males,Germany (until 1990 former territory of the FRG),Professional scientific and technical activities,4863
2018,Males,Germany (until 1990 former territory of the FRG),Administrative and support service activities,2497
2018,Males,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,3873
2018,Males,Germany (until 1990 former territory of the FRG),Public administration and defence; compulsory social security,3769
