TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Total,Denmark,Mining and quarrying,7666
2018,Total,Denmark,Manufacturing,5182
2018,Total,Denmark,Electricity gas steam and air conditioning supply,6342
2018,Total,Denmark,Water supply; sewerage waste management and remediation activities,4845
2018,Total,Denmark,Construction,4729
2018,Total,Denmark,Services (except activities of households as employers and extra-territorial organisations and bodies),4379
2018,Total,Denmark,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4347
2018,Total,Denmark,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,4259
2018,Total,Denmark,Wholesale and retail trade; repair of motor vehicles and motorcycles,3849
2018,Total,Denmark,Transportation and storage,5190
2018,Total,Denmark,Accommodation and food service activities,3173
2018,Total,Denmark,Information and communication,5941
2018,Total,Denmark,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4892
2018,Total,Denmark,Financial and insurance activities,6382
2018,Total,Denmark,Real estate activities,4515
2018,Total,Denmark,Professional scientific and technical activities,5853
2018,Total,Denmark,Administrative and support service activities,3956
2018,Total,Denmark,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,4233
2018,Total,Denmark,Public administration and defence; compulsory social security,4855
2018,Total,Denmark,Education; human health and social work activities; arts entertainment and recreation; other service activities,4139
2018,Total,Denmark,Education,4602
2018,Total,Denmark,Human health and social work activities,3939
2018,Total,Denmark,Arts entertainment and recreation,3726
2018,Total,Denmark,Other service activities,5042
2018,Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),3370
2018,Total,Germany (until 1990 former territory of the FRG),Industry construction and services (except public administration defense compulsory social security),3349
2018,Total,Germany (until 1990 former territory of the FRG),Business economy,3337
2018,Total,Germany (until 1990 former territory of the FRG),Industry and construction,3736
2018,Total,Germany (until 1990 former territory of the FRG),Industry (except construction),3867
2018,Total,Germany (until 1990 former territory of the FRG),Mining and quarrying,4020
2018,Total,Germany (until 1990 former territory of the FRG),Manufacturing,3854
2018,Total,Germany (until 1990 former territory of the FRG),Electricity gas steam and air conditioning supply,4910
2018,Total,Germany (until 1990 former territory of the FRG),Water supply; sewerage waste management and remediation activities,3293
2018,Total,Germany (until 1990 former territory of the FRG),Construction,2981
2018,Total,Germany (until 1990 former territory of the FRG),Services (except activities of households as employers and extra-territorial organisations and bodies),3242
2018,Total,Germany (until 1990 former territory of the FRG),Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),3198
2018,Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; transport; accommodation and food service activities; information and communication,2933
2018,Total,Germany (until 1990 former territory of the FRG),Wholesale and retail trade; repair of motor vehicles and motorcycles,2894
2018,Total,Germany (until 1990 former territory of the FRG),Transportation and storage,2765
2018,Total,Germany (until 1990 former territory of the FRG),Accommodation and food service activities,1966
2018,Total,Germany (until 1990 former territory of the FRG),Information and communication,4595
